Spanish,English
que,what
de,from
el,the
es,it is
y,Y
en,on
lo,it
un,a
por,for
qué,what
me,I
una,a
te,tea
los,the
se,I know
con,with
para,in order to
mi,me
está,this
si,Yes
bien,well
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,you
aquí,here
del,of
al,to the
como,What
le,you
más,more
esto,this
ya,already
todo,everything
esta,is
vamos,go
muy,very
hay,there are
ahora,now
algo,something
tengo,I have
nos,us
tú,your
nada,nothing
cuando,when
ha,ha
este,this
sé,he
estás,are
así,So
puedo,may l
cómo,as
quiero,I want
sólo,alone
soy,I am
tiene,have
gracias,Thank you
o,or
él,he
bueno,well
fue,It was
ser,to be
hacer,make
son,They are
todos,everyone
era,it was
eres,are
vez,time
tienes,do you have
creo,I think
ella,her
ese,that
voy,I go
puede,can
sabes,you know
hola,Hello
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,you want
casa,home
favor,favor
esa,that
dos,two
tan,so
señor,Mister
tiempo,weather
verdad,truth
estaba,was
mejor,best
están,is it so
va,he
hombre,man
usted,you
mucho,a lot of
hace,makes
entonces,then
siento,I feel
tenemos,have
puedes,you may
ahí,there
ti,you
vida,lifetime
ver,watch
alguien,someone
sr,Mr
hasta,until
sin,without
mí,my
solo,only
años,years
sobre,on
decir,say
uno,one
siempre,forever
oh,oh
ir,to go
cosas,things
también,also
antes,before
has,you
ni,neither
mis,my
día,day
estar,to be
estamos,we're
noche,night
nadie,no one
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little
padre,dad
trabajo,job
gente,people
mira,sight
vas,you go
sea,be
les,them
donde,where
mismo,same
hecho,done
ellos,they
dijo,He said
pasa,happens
dinero,money
hijo,child
tal,such
otro,other
hablar,speak
seguro,insurance
claro,Sure
estas,these
lugar,place
mundo,world
amigo,friend
espera,waiting
mierda,shit
han,they have
tus,your
sabe,knows
después,later
momento,moment
desde,since
fuera,outside
cosa,thing
tipo,kind
mañana,morning
podemos,we can
dije,said
gran,great
necesito,needed
estado,condition
podría,might
acuerdo,agreement
papá,father
tener,to have
dice,He says
mío,Own
crees,think
buena,good
gusta,like
nuestro,our
nuevo,new
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,Mommy
tienen,have
luego,soon
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,Dear
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,careful
pasó,step
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
eh,Hey
rápido,Quick
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,car
camino,road
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,goodbye
primero,First
debería,should
poder,can
niños,kids
sería,would
historia,story
hey,hey
mientras,While
ciudad,town
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,boy
listo,clever
noches,nights
buenos,good ones
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,Means
sangre,blood
fin,end
bajo,under
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,under
dr,dr
hija,daughter
dejar,let
necesita,needs to
llegar,to get
hago,do
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,at least
genial,cool
cree,cree
supuesto,supposed
tomar,drink
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,say
amo,love
cuándo,when
pequeño,small
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,Many
hubiera,had
segundo,second
aunque,even if
pueda,can
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,return
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,remains
hijos,children
mayor,higher
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,bedroom
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,fuck
final,final
lista,ready
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,Quite
seguridad,safety
pasando,going
esperando,waiting
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,guilt
veras,you'll see
adónde,where to
buscando,searching
cuanto,how much
padres,fathers
paz,peace
demonios,demons
estará,will be
cual,which
perdón,forgiveness
asi,So
jugar,play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,I remember
par,pair
joven,young
seguir,"follow, continue"
pueblo,town
tenga,have
caballeros,gentlemen
idiota,moron
dio,it gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,our
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,You understand
país,country
último,latest
ésta,is
diga,tell
podrías,could you
pequeña,little
cállate,shut up
trato,treatment
rey,King
sucede,happens
muchachos,boys
jamás,Never
cama,bed
srta,Ms
ayudar,to help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carry
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,strange
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,Darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,amazing
además,what's more
deben,should
libro,book
calle,Street
café,coffee
piensas,think
hacemos,we make
especial,special
queremos,we want
irme,leave
perfecto,perfect
buscar,search
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,front
perdido,lost
llamo,I call
muertos,dead
millones,millions
asesino,assassin
sueño,dream
quisiera,I'd like
habría,there would be
hará,will
viaje,travel
probablemente,probably
resto,rest
estaré,I will be
maldición,curse
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,force
llamado,called
oído,hearing
dado,dice
encima,on
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,He had
secreto,secret
vuelve,comes back
miren,look
quieras,want
haría,would do
acaba,just
otras,other
incluso,even
sientes,you feel
deberíamos,we should
haz,do
boca,mouth
dolor,pain
baño,bath
adentro,indoors
profesor,teacher
habitación,bedroom
daño,hurt
tuyo,of yours
seas,be
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,set
prueba,proof
mire,Look
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,affair
acabó,just
quédate,stay
derecho,right
placer,pleasure
recuerda,remember
estuve,was
tratando,treating
ejército,army
futuro,future
llevar,wear
compañía,company
venido,I come
listos,ready
haremos,will
sitio,site
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,weird
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,anda
ello,it
negocio,deal
novia,girlfriend
permiso,permit
creí,thought
suena,sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,he killed
regresar,to return
vio,he saw
hazlo,do it
trasero,rear
grupo,group
entendido,understood
señorita,miss
música,music
perra,female dog
conoce,known
empezar,start
siente,feels
acabo,finished
estúpido,stupid
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
largo,long
entra,enters
piso,flat
foto,Photo
dijeron,they said
médico,doctor
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,to win
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,tell
lindo,cute
funciona,works
programa,Program
vine,came
abre,opens
sean,are
fotos,Photos
centro,center
supone,supposed
basura,garbage
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,personal
maestro,teacher
hambre,hunger
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,answer
tipos,types
sentir,feel
tenías,had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,sight
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,ten
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,Chick
servicio,service
tren,train
bonito,beautiful
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,you have
corre,runs
baja,short
sol,Sun
siéntate,Sit down
dan,they give
divertido,fun
sexo,sex
vuelto,turned
peligro,danger
mesa,table
siguiente,following
hablo,talked
disculpa,excuse
decirme,tell me
caja,box
negocios,business
misión,mission
silencio,be quiet
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own self
oro,gold
enseguida,right away
linda,cute
prometo,I promise
esposo,husband
norte,North
hubo,there was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,seeks
terminar,end up
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,edifice
irnos,leave
aun,yet
tendremos,we will have
vayas,go
doy,give
trae,brings
salió,he left
ley,law
ahi,over there
verdadero,true
pelea,Fight
banco,Bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,to buy
creen,believe
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,groom
sala,room
través,through
regalo,present
iglesia,church
cualquiera,any
excelente,Excellent
esperen,expect
deseo,wish
alma,soul
diablo,Devil
deje,leave
cuántos,how many
espada,sword
estábamos,we were
carne,meat
maravilloso,marvelous
vidas,lifes
sucedió,it happened
oí,I heard
peligroso,dangerous
dirección,direction
libertad,Liberty
jesús,Jesus
ocurrió,occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
luna,Moon
salvar,save
carta,letter
estés,re
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,candy
pruebas,tests
querías,wanted
abuelo,Grandpa
totalmente,totally
mirando,looking at
vayan,go
carrera,race
